,Ngày,Thay đổi (+/-%),Số lệnh mua,Khối lượng đặt mua,KLTB 1 lệnh mua,Số lệnh đặt bán,Khối lượng đặt bán,KLTB 1 lệnh bán,Chênh lệch KL đặt mua - đặt bán
7,16/10/2018,15.4 (-0.65 %),950,1977080,2081,461,2379810,5162,-402730
8,15/10/2018,15.5 (1.97 %),1171,2466010,2106,809,2103680,2600,362330
9,12/10/2018,15.2 (3.05 %),1829,3553560,1943,755,3020590,4001,532970
10,11/10/2018,14.75 (-6.94 %),1504,3826790,2544,929,4997180,5379,-1170390
11,10/10/2018,15.85 (-3.35 %),2316,4235620,1829,870,4624450,5315,-388830
12,09/10/2018,16.4 (-2.38 %),1928,3516430,1824,755,4405210,5835,-888780
13,08/10/2018,16.8 (-1.18 %),1235,2251280,1823,579,2943040,5083,-691760
14,05/10/2018,17 (-0.87 %),838,1424120,1699,514,2460580,4787,-1036460
15,04/10/2018,17.15 (0.29 %),1087,3637950,3347,627,2999870,4784,638080
16,03/10/2018,17.1 (0.88 %),892,1800380,2018,547,2435760,4453,-635380
17,02/10/2018,16.95 (-1.74 %),1288,3015100,2341,654,4621090,7066,-1605990
18,01/10/2018,17.25 (-1.43 %),848,1862980,2197,657,2903620,4420,-1040640
19,28/09/2018,17.5 (-1.69 %),1029,3086440,2999,1073,5576840,5197,-2490400
20,27/09/2018,17.8 (1.14 %),1003,3599200,3588,1145,4147780,3623,-548580
1,26/09/2018,17.6 (-0.56 %),904,2999110,3318,953,3239670,3399,-240560
2,25/09/2018,17.7 (1.14 %),1039,3217060,3096,1301,4093510,3146,-876450
3,24/09/2018,17.5 (2.04 %),750,3127600,4170,1068,3536110,3311,-408510
4,21/09/2018,17.15 (-1.15 %),926,2278210,2460,870,3209380,3689,-931170
5,20/09/2018,17.35 (0.29 %),788,2582040,3277,880,2997530,3406,-415490
6,19/09/2018,17.3 (1.76 %),978,4019510,4110,1147,3649250,3182,370260
7,18/09/2018,17 (1.80 %),1084,2855250,2634,722,3364960,4661,-509710
8,17/09/2018,16.7 (-0.89 %),941,1863530,1980,575,2084500,3625,-220970
9,14/09/2018,16.85 (-0.59 %),839,2012540,2399,553,2245620,4061,-233080
10,13/09/2018,16.95 (0.30 %),786,1853970,2359,451,1665980,3694,187990
11,12/09/2018,16.9 (-1.17 %),771,1784360,2314,491,2134200,4347,-349840
12,11/09/2018,17.1 (0.59 %),863,1992640,2309,569,1854850,3260,137790
13,10/09/2018,17 (-1.73 %),692,1982970,2866,509,2030080,3988,-47110
14,07/09/2018,17.3 (0.58 %),1072,2500120,2332,627,2612260,4166,-112140
15,06/09/2018,17.2 (-2.27 %),1148,2428820,2116,798,3004050,3764,-575230
16,05/09/2018,17.6 (1.73 %),1164,4576060,3931,1043,4140170,3969,435890
17,04/09/2018,17.3 (-2.81 %),1227,2813270,2293,819,3588210,4381,-774940
18,31/08/2018,17.8 (-1.66 %),1398,4152990,2971,1448,5065670,3498,-912680
19,30/08/2018,18.1 (4.32 %),1769,6766210,3825,2056,5777560,2810,988650
20,29/08/2018,17.35 (2.66 %),848,3013830,3554,745,2771400,3720,242430
1,28/08/2018,16.9 (-0.59 %),525,1322840,2520,644,2000840,3107,-678000
2,27/08/2018,17 (-0.87 %),703,2083440,2964,767,2718120,3544,-634680
3,24/08/2018,17.15 (0.59 %),620,2040930,3292,722,2190830,3034,-149900
4,23/08/2018,17.05 (-0.29 %),522,1531510,2934,923,2548140,2761,-1016630
5,22/08/2018,17.1 (4.59 %),1111,4518170,4067,1501,3729260,2485,788910
6,21/08/2018,16.35 (0.62 %),611,2131250,3488,520,1718090,3304,413160
7,20/08/2018,16.25 (-1.22 %),490,1094890,2234,555,1684570,3035,-589680
8,17/08/2018,16.45 (-1.50 %),585,1713070,2928,668,2288510,3426,-575440
9,16/08/2018,16.7 (0.00 %),640,1838600,2873,554,2273710,4104,-435110
10,15/08/2018,16.7 (0.30 %),525,1425760,2716,551,1734080,3147,-308320
11,14/08/2018,16.65 (-1.19 %),625,1601960,2563,589,2332280,3960,-730320
12,13/08/2018,16.85 (2.74 %),788,1975070,2506,619,1578490,2550,396580
13,10/08/2018,16.4 (-2.09 %),931,2016050,2165,523,1872550,3580,143500
14,09/08/2018,16.75 (-0.30 %),758,1651060,2178,494,1399820,2834,251240
15,08/08/2018,16.75 (-0.30 %),921,1969400,2138,541,2339810,4325,-370410
16,07/08/2018,16.8 (-0.88 %),727,1071890,1474,457,1245240,2725,-173350
17,06/08/2018,16.95 (-0.88 %),1041,2411740,2317,579,3071490,5305,-659750
18,03/08/2018,17.1 (-0.58 %),816,2509150,3075,643,2829440,4400,-320290
19,02/08/2018,17.2 (-0.58 %),935,3345980,3579,659,3275860,4971,70120
20,01/08/2018,17.3 (0.87 %),1036,4156770,4012,907,3638540,4012,518230
1,31/07/2018,17.15 (-1.72 %),1168,2530410,2166,644,3478760,5402,-948350
2,30/07/2018,17.45 (0.29 %),722,2708190,3751,633,2923040,4618,-214850
3,27/07/2018,17.4 (2.35 %),806,4028580,4998,777,3991020,5136,37560
4,26/07/2018,17 (-2.02 %),1287,2956980,2298,502,3873040,7715,-916060
5,25/07/2018,17.35 (-2.53 %),1010,3054510,3024,693,3231940,4664,-177430
6,24/07/2018,17.8 (0.56 %),722,2209130,3060,535,2884680,5392,-675550
7,23/07/2018,17.7 (-0.56 %),823,2006730,2438,472,2568310,5441,-561580
8,20/07/2018,17.8 (-1.66 %),934,2401150,2571,507,2612120,5152,-210970
9,19/07/2018,18.1 (-0.55 %),818,2113870,2584,622,2466790,3966,-352920
10,18/07/2018,18.2 (1.96 %),841,2692340,3201,724,2432420,3360,259920
11,17/07/2018,17.85 (4.39 %),1259,4182560,3322,698,3328170,4768,854390
12,16/07/2018,17.1 (-0.29 %),684,2215400,3239,422,2343930,5554,-128530
13,13/07/2018,17.15 (0.88 %),683,2071380,3033,462,2253540,4878,-182160
14,12/07/2018,17 (1.19 %),527,1887500,3582,470,2317310,4930,-429810
15,11/07/2018,16.8 (-5.88 %),936,2722070,2908,494,3271740,6623,-549670
16,10/07/2018,17.85 (0.00 %),575,2032190,3534,453,2123190,4687,-91000
17,09/07/2018,17.85 (-2.19 %),621,1945280,3132,541,2394540,4426,-449260
18,06/07/2018,18.25 (4.29 %),886,3716010,4194,607,3433830,5657,282180
19,05/07/2018,17.5 (-3.58 %),839,2900410,3457,601,3536900,5885,-636490
20,04/07/2018,18.15 (-0.82 %),639,2073570,3245,452,2467660,5459,-394090
1,03/07/2018,18.3 (0.27 %),722,3871990,5363,1078,4827170,4478,-955180
2,02/07/2018,18.25 (-3.44 %),917,3809470,4154,776,3959320,5102,-149850
3,29/06/2018,18.9 (0.00 %),333,1151030,3457,440,1333790,3031,-182760
4,28/06/2018,18.9 (0.27 %),545,2028610,3722,671,2280250,3398,-251640
5,27/06/2018,18.85 (-2.33 %),1089,2241490,2058,552,2373720,4300,-132230
6,26/06/2018,19.3 (-0.77 %),703,2506020,3565,566,3037320,5366,-531300
7,25/06/2018,19.45 (-0.77 %),681,2559560,3759,714,3245190,4545,-685630
8,22/06/2018,19.6 (2.08 %),741,3586610,4840,700,3231990,4617,354620
9,21/06/2018,19.2 (-2.29 %),665,2533400,3810,606,2848530,4701,-315130
10,20/06/2018,19.65 (5.08 %),1124,3781940,3365,762,2648700,3476,1133240
11,19/06/2018,18.7 (-5.56 %),1245,2224400,1787,800,2620950,3276,-396550
12,18/06/2018,19.8 (-5.49 %),1343,3050130,2271,1009,3919910,3885,-869780
13,15/06/2018,20.95 (-1.64 %),488,1604700,3288,411,1574600,3831,30100
14,14/06/2018,21.3 (1.67 %),819,2880610,3517,629,2717630,4321,162980
15,13/06/2018,20.95 (1.95 %),406,588060,1448,309,549130,1777,38930
16,12/06/2018,20.55 (-2.61 %),616,1048780,1703,460,1016900,2211,31880
17,11/06/2018,21.1 (-3.65 %),824,2037830,2473,582,2453480,4216,-415650
18,08/06/2018,21.9 (-0.45 %),643,1515500,2357,483,1743830,3610,-228330
19,07/06/2018,22 (-4.35 %),626,1552770,2480,704,2091020,2970,-538250
20,06/06/2018,23 (2.00 %),1357,4491980,3310,881,2542290,2886,1949690
1,05/06/2018,22.55 (0.00 %),1031,3549750,3443,1217,3007610,2471,542140
2,04/06/2018,22.55 (6.87 %),1368,4080890,2983,1049,2700650,2574,1380240
3,01/06/2018,21.1 (4.46 %),976,3645560,3735,1009,2569440,2547,1076120
4,31/05/2018,20.2 (1.51 %),726,2061930,2840,508,2086650,4108,-24720
5,30/05/2018,19.9 (-1.00 %),337,605910,1798,387,744460,1924,-138550
6,29/05/2018,20.1 (0.50 %),670,3085360,4605,597,2152280,3605,933080
7,28/05/2018,20 (-3.38 %),837,2834650,3387,1145,3268370,2854,-433720
8,25/05/2018,20.7 (1.47 %),774,3689170,4766,1345,3674090,2732,15080
9,24/05/2018,20.4 (4.08 %),826,4707770,5699,1561,4540000,2908,167770
10,23/05/2018,19.6 (6.81 %),956,3837810,4014,780,2359750,3025,1478060
11,22/05/2018,18.35 (-3.17 %),460,697440,1516,354,818530,2312,-121090
12,21/05/2018,18.95 (-1.30 %),350,284590,813,267,517910,1940,-233320
13,18/05/2018,19.2 (-2.04 %),266,321390,1208,293,798030,2724,-476640
14,17/05/2018,19.6 (0.00 %),225,402960,1791,353,735670,2084,-332710
15,16/05/2018,19.6 (0.00 %),270,502670,1862,373,722210,1936,-219540
16,15/05/2018,19.6 (1.55 %),331,895400,2705,573,1205790,2104,-310390
17,14/05/2018,19.3 (0.26 %),306,753000,2461,454,950540,2094,-197540
18,11/05/2018,19.25 (1.32 %),258,559670,2169,465,774270,1665,-214600
19,10/05/2018,19 (-1.04 %),395,944170,2390,575,1469720,2556,-525550
20,09/05/2018,19.2 (-1.03 %),433,1150430,2657,660,1492150,2261,-341720
1,08/05/2018,19.4 (2.37 %),697,2095950,3007,705,2216970,3145,-121020
2,07/05/2018,18.95 (-2.57 %),777,949830,1222,436,1512740,3470,-562910
3,04/05/2018,19.45 (0.26 %),389,1039310,2672,383,986230,2575,53080
4,03/05/2018,19.4 (-2.51 %),524,805960,1538,384,820720,2137,-14760
5,02/05/2018,19.9 (-0.50 %),524,1147390,2190,413,1028110,2489,119280
6,27/04/2018,20 (1.27 %),486,1271930,2617,440,907480,2062,364450
7,26/04/2018,19.75 (-4.36 %),583,976590,1675,595,1465490,2463,-488900
8,24/04/2018,20.65 (-1.90 %),964,3253690,3375,998,2463970,2469,789720
9,23/04/2018,21.05 (1.20 %),448,1689370,3771,888,2063140,2323,-373770
10,20/04/2018,20.8 (-0.48 %),678,1005020,1482,545,1073610,1970,-68590
11,19/04/2018,20.9 (-1.88 %),689,1235340,1793,617,1533190,2485,-297850
12,18/04/2018,21.3 (-2.52 %),497,753040,1515,771,1479140,1918,-726100
13,17/04/2018,21.85 (-0.23 %),669,1019420,1524,891,1673170,1878,-653750
14,16/04/2018,21.9 (6.31 %),1026,2599410,2534,960,1972490,2055,626920
15,13/04/2018,20.6 (-0.96 %),611,932820,1527,505,1131080,2240,-198260
16,12/04/2018,20.8 (-1.65 %),808,1050220,1300,438,931240,2126,118980
17,11/04/2018,21.15 (-3.86 %),914,1166700,1276,783,1672030,2135,-505330
18,10/04/2018,22 (3.29 %),1152,2713200,2355,914,2285030,2500,428170
19,09/04/2018,21.3 (6.76 %),1643,3137100,1909,688,2069760,3008,1067340
20,06/04/2018,25.9 (-0.19 %),960,2789060,2905,1315,3460350,2631,-671290
1,05/04/2018,25.95 (-2.08 %),791,1822390,2304,1055,2317250,2196,-494860
2,04/04/2018,26.5 (5.58 %),806,2065980,2563,1110,1878360,1692,187620
3,03/04/2018,25.1 (6.81 %),1537,3411680,2220,1182,1900870,1608,1510810
4,02/04/2018,23.5 (-5.24 %),1671,2108240,1262,1130,2442450,2161,-334210
5,30/03/2018,24.8 (-3.13 %),1213,1583270,1305,811,1874130,2311,-290860
6,29/03/2018,25.6 (-1.73 %),1194,2227910,1866,669,2244590,3355,-16680
7,28/03/2018,26.05 (-0.95 %),1303,2899300,2225,641,2798520,4366,100780
8,27/03/2018,26.3 (0.77 %),766,1689670,2206,607,1457130,2401,232540
9,26/03/2018,26.1 (-2.97 %),919,1681440,1830,701,1717830,2451,-36390
10,23/03/2018,26.9 (-2.00 %),629,1243550,1977,607,1351290,2226,-107740
11,22/03/2018,27.45 (1.67 %),784,2636160,3362,1420,2933010,2066,-296850
12,21/03/2018,27 (1.69 %),622,2232060,3589,760,2180800,2869,51260
13,20/03/2018,26.55 (0.38 %),638,1229530,1927,626,1303950,2083,-74420
14,19/03/2018,26.45 (-0.94 %),891,1782300,2000,541,2013730,3722,-231430
15,16/03/2018,26.7 (-0.56 %),669,1594540,2383,498,1956140,3928,-361600
16,15/03/2018,26.85 (-2.19 %),765,1247410,1631,604,1669810,2765,-422400
17,14/03/2018,27.45 (3.39 %),858,2436130,2839,1064,2306070,2167,130060
18,13/03/2018,26.55 (1.14 %),1236,2230100,1804,714,2301020,3223,-70920
19,12/03/2018,26.25 (-2.05 %),1097,1379200,1257,603,1684130,2793,-304930
20,09/03/2018,26.8 (-1.11 %),890,1499510,1685,542,1877770,3465,-378260
1,08/03/2018,27.1 (-2.52 %),552,1060010,1920,585,1318020,2253,-258010
2,07/03/2018,27.8 (3.35 %),1002,2912170,2906,1035,2670110,2580,242060
3,06/03/2018,26.9 (0.00 %),814,1582610,1944,563,1487680,2642,94930
4,05/03/2018,26.9 (-2.54 %),1083,1513640,1398,723,2082430,2880,-568790
5,02/03/2018,27.6 (-0.36 %),901,1721540,1911,561,1450220,2585,271320
6,01/03/2018,27.7 (-1.77 %),869,1565350,1801,603,1787660,2965,-222310
7,28/02/2018,28.2 (1.08 %),807,1838140,2278,791,1734660,2193,103480
8,27/02/2018,27.9 (-2.62 %),1276,1890300,1481,680,2030170,2986,-139870
9,26/02/2018,28.65 (0.00 %),782,2051520,2623,988,2338070,2366,-286550
10,23/02/2018,28.65 (0.70 %),978,2181970,2231,643,1700850,2645,481120
11,22/02/2018,28.45 (-3.07 %),1207,2006190,1662,879,2154630,2451,-148440
12,21/02/2018,29.35 (-0.84 %),1093,2553880,2337,899,1908080,2122,645800
13,13/02/2018,29.6 (6.86 %),1213,3750120,3092,842,2392840,2842,1357280
14,12/02/2018,27.7 (2.59 %),696,1632350,2345,619,1758820,2841,-126470
15,09/02/2018,27 (-1.46 %),989,1971820,1994,641,1712430,2671,259390
16,08/02/2018,27.4 (2.43 %),933,1913070,2050,895,1915000,2140,-1930
17,07/02/2018,26.75 (7.00 %),989,2643910,2673,321,1122180,3496,1521730
18,06/02/2018,25 (-6.89 %),845,1727380,2044,557,2574770,4623,-847390
19,05/02/2018,26.85 (-6.93 %),963,1179240,1225,551,1756960,3189,-577720
20,02/02/2018,28.85 (0.00 %),554,649940,1173,393,940090,2392,-290150
1,01/02/2018,28.85 (-3.51 %),877,1149090,1310,488,1512590,3100,-363500
2,31/01/2018,29.9 (4.18 %),1318,2402670,1823,731,2435640,3332,-32970
3,30/01/2018,28.7 (-4.33 %),1713,2429030,1418,688,2786220,4050,-357190
4,29/01/2018,30 (-5.96 %),2052,5350300,2607,844,4974460,5894,375840
5,26/01/2018,31.9 (-1.85 %),1149,2585370,2250,1051,2980170,2836,-394800
6,25/01/2018,32.5 (-0.76 %),1123,4398670,3917,1011,3931200,3888,467470
7,22/01/2018,32.75 (-0.46 %),1025,4241380,4138,943,3760880,3988,480500
8,19/01/2018,32.9 (0.30 %),622,1640070,2637,674,2512060,3727,-871990
9,18/01/2018,32.8 (-0.30 %),769,1760380,2289,470,1642540,3495,117840
10,17/01/2018,32.9 (0.16 %),1398,3221400,2304,1045,4223160,4041,-1001760
11,16/01/2018,34.35 (-1.72 %),663,1516120,2287,890,3062590,3441,-1546470
12,15/01/2018,34.95 (1.30 %),573,2088900,3646,966,2611460,2703,-522560
13,12/01/2018,34.5 (0.29 %),555,1810090,3261,937,2849540,3041,-1039450
14,11/01/2018,34.4 (1.18 %),618,2662470,4308,1041,3380110,3247,-717640
15,10/01/2018,34 (0.15 %),690,2155630,3124,726,2536760,3494,-381130
16,09/01/2018,33.95 (1.19 %),765,3096530,4048,905,2944380,3253,152150
17,08/01/2018,33.55 (2.91 %),1018,4025780,3955,1074,3163130,2945,862650
18,05/01/2018,32.6 (-0.61 %),729,2035170,2792,627,2155200,3437,-120030
19,04/01/2018,32.8 (-0.46 %),901,2500130,2775,640,2594350,4054,-94220
20,03/01/2018,32.95 (0.30 %),864,2414560,2795,624,2386960,3825,27600
1,02/01/2018,32.85 (-0.76 %),1168,3106510,2660,811,2353550,2902,752960
2,29/12/2017,33.1 (1.07 %),537,2649790,4934,995,3147500,3163,-497710
3,28/12/2017,32.75 (0.00 %),533,1622070,3043,621,2163520,3484,-541450
4,27/12/2017,32.75 (-0.15 %),777,1982370,2551,725,2595420,3580,-613050
5,26/12/2017,32.8 (0.00 %),597,1760700,2949,633,2353620,3718,-592920
6,25/12/2017,32.8 (-0.91 %),753,1884460,2503,675,2315750,3431,-431290
7,22/12/2017,33.1 (1.22 %),786,3006830,3825,866,3070450,3546,-63620
8,21/12/2017,32.7 (0.62 %),777,2314720,2979,983,2882520,2932,-567800
9,20/12/2017,32.5 (0.31 %),891,3303970,3708,1281,4221370,3295,-917400
10,19/12/2017,32.4 (-0.15 %),793,2205370,2781,902,2940010,3259,-734640
11,18/12/2017,32.45 (0.62 %),541,2008570,3713,1082,2958800,2735,-950230
12,15/12/2017,32.25 (3.70 %),1144,4680800,4092,1432,4873640,3403,-192840
13,14/12/2017,31.1 (1.80 %),809,2456220,3036,700,2819640,4028,-363420
14,13/12/2017,30.55 (-0.65 %),411,985720,2398,448,1398780,3122,-413060
15,12/12/2017,30.75 (0.65 %),1001,2230530,2228,694,3100650,4468,-870120
16,11/12/2017,30.55 (-2.08 %),929,1730410,1863,463,2198660,4749,-468250
17,08/12/2017,31.2 (0.00 %),936,1494650,1597,584,1960780,3358,-466130
18,07/12/2017,31.2 (0.16 %),916,1728830,1887,571,2501270,4381,-772440
19,06/12/2017,31.15 (-2.35 %),1087,1890600,1739,641,2117220,3303,-226620
20,05/12/2017,31.9 (-1.39 %),928,2001660,2157,764,2593520,3395,-591860
1,04/12/2017,32.35 (1.09 %),584,2183910,3740,995,2681550,2695,-497640
2,01/12/2017,32 (-0.31 %),989,2422140,2449,820,2759800,3366,-337660
3,30/11/2017,32.1 (0.00 %),580,1668340,2876,824,2197960,2667,-529620
4,29/11/2017,32.1 (0.94 %),669,2046240,3059,1123,2850730,2538,-804490
5,28/11/2017,31.8 (-1.24 %),753,1906570,2532,1025,2660560,2596,-753990
6,27/11/2017,32.2 (2.71 %),999,3565140,3569,1382,3280770,2374,284370
7,24/11/2017,31.35 (0.48 %),1107,2497790,2256,1018,2553470,2508,-55680
8,23/11/2017,31.2 (0.81 %),1111,2399440,2160,1045,3175950,3039,-776510
9,22/11/2017,30.95 (-1.43 %),964,1864240,1934,938,2178720,2323,-314480
10,21/11/2017,31.4 (0.32 %),1239,3927290,3170,1479,4317690,2919,-390400
11,20/11/2017,31.3 (2.96 %),1174,4062560,3460,1309,4359380,3330,-296820
12,17/11/2017,30.4 (-1.94 %),1478,2488100,1683,1107,2800650,2530,-312550
13,16/11/2017,31 (0.00 %),1177,3782580,3214,1515,3229350,2132,553230
14,15/11/2017,31 (4.20 %),1483,3892840,2625,1340,3703500,2764,189340
15,14/11/2017,29.75 (5.87 %),1677,4525970,2699,1558,3870770,2484,655200
16,13/11/2017,28.1 (-6.95 %),2094,3354450,1602,1185,4208970,3552,-854520
17,10/11/2017,30.2 (0.50 %),633,1370600,2165,512,1422550,2778,-51950
18,09/11/2017,30.05 (0.17 %),1088,2212390,2033,762,2694030,3535,-481640
19,08/11/2017,30 (-2.91 %),1327,2043660,1540,748,2400910,3210,-357250
20,07/11/2017,30.9 (0.32 %),749,2038810,2722,770,2169940,2818,-131130
1,06/11/2017,30.8 (0.98 %),668,1308150,1958,513,1181130,2302,127020
2,03/11/2017,30.5 (1.67 %),924,2014200,2180,720,1837200,2552,177000
3,02/11/2017,30 (-1.48 %),999,1870420,1872,783,2317110,2959,-446690
4,01/11/2017,30.45 (0.50 %),769,1352170,1758,584,1141090,1954,211080
5,31/10/2017,30.3 (-1.94 %),1468,2986100,2034,1107,2822940,2550,163160
6,30/10/2017,30.9 (-5.79 %),1509,2246230,1489,904,2796800,3094,-550570
7,27/10/2017,32.8 (-1.35 %),1464,2259590,1543,716,2663300,3720,-403710
8,26/10/2017,33.25 (-1.77 %),664,1372380,2067,520,1405070,2702,-32690
9,25/10/2017,33.85 (0.89 %),493,1026550,2082,379,898270,2370,128280
10,24/10/2017,33.55 (0.75 %),730,1417590,1942,530,1355630,2558,61960
11,23/10/2017,33.3 (-2.06 %),1231,2363660,1920,810,2570990,3174,-207330
12,20/10/2017,34 (-1.88 %),1091,3149850,2887,811,3960880,4884,-811030
13,19/10/2017,34.65 (-0.72 %),781,1496830,1917,704,2746510,3901,-1249680
14,18/10/2017,34.9 (-0.99 %),1085,2662680,2454,1297,4591010,3540,-1928330
15,17/10/2017,35.25 (1.59 %),1807,4596990,2544,2117,7075450,3342,-2478460
16,16/10/2017,34.7 (0.00 %),618,1414370,2289,781,2205190,2824,-790820
17,13/10/2017,34.7 (0.14 %),708,1502710,2122,772,2451210,3175,-948500
18,12/10/2017,34.65 (-0.29 %),685,1269840,1854,638,2015110,3158,-745270
19,11/10/2017,34.75 (-1.14 %),952,1719390,1806,1129,3520970,3119,-1801580
20,10/10/2017,35.15 (2.33 %),931,2666340,2864,1268,3875080,3056,-1208740
1,09/10/2017,34.35 (1.18 %),906,1898410,2095,699,2276240,3256,-377830
2,06/10/2017,33.95 (-0.15 %),464,1071280,2309,455,1542700,3391,-471420
3,05/10/2017,34 (-0.87 %),622,1707730,2746,738,2372750,3215,-665020
4,04/10/2017,34.3 (2.69 %),849,2140500,2521,675,1556220,2306,584280
5,03/10/2017,33.4 (-1.33 %),1373,2327930,1696,721,2534940,3516,-207010
6,02/10/2017,33.85 (-1.17 %),831,1333360,1605,500,1490830,2982,-157470
7,29/09/2017,34.25 (0.88 %),1552,3142700,2025,681,3049270,4478,93430
8,28/09/2017,33.95 (-2.16 %),1460,3034470,2078,816,3638840,4459,-604370
9,27/09/2017,34.7 (0.00 %),990,1949230,1969,609,1770210,2907,179020
10,26/09/2017,34.7 (-1.14 %),1254,2595700,2070,756,2777570,3674,-181870
11,25/09/2017,35.1 (-0.71 %),936,2110160,2254,1057,3168500,2998,-1058340
12,22/09/2017,35.35 (1.00 %),897,2305130,2570,1147,3361750,2931,-1056620
13,21/09/2017,35 (0.86 %),899,2795520,3110,959,3021110,3150,-225590
14,20/09/2017,34.7 (0.29 %),1430,3622330,2533,853,3135550,3676,486780
15,19/09/2017,34.6 (-0.57 %),1453,3217740,2215,1087,3156170,2904,61570
16,18/09/2017,34.8 (-1.42 %),2151,4623620,2150,1631,6744800,4135,-2121180
17,15/09/2017,35.3 (2.17 %),2316,5398480,2331,1783,4853160,2722,545320
18,14/09/2017,34.55 (-1.57 %),1653,2996960,1813,1147,4296180,3746,-1299220
19,13/09/2017,35.1 (0.86 %),2131,5204250,2442,1968,6326960,3215,-1122710
20,12/09/2017,34.8 (6.58 %),2095,6907350,3297,2326,5762390,2477,1144960
1,11/09/2017,32.65 (0.15 %),681,1991160,2924,842,2097960,2492,-106800
2,08/09/2017,32.6 (-1.36 %),951,2129890,2240,1037,3040160,2932,-910270
3,07/09/2017,33.05 (1.85 %),1346,3900590,2898,1562,5508230,3526,-1607640
4,06/09/2017,32.45 (1.25 %),1031,2785860,2702,662,2102470,3176,683390
5,05/09/2017,32.05 (-1.23 %),773,1242570,1607,462,1459260,3159,-216690
6,01/09/2017,32.45 (0.15 %),496,1246420,2513,717,2979440,4155,-1733020
7,31/08/2017,32.4 (0.93 %),656,1728590,2635,828,2315520,2797,-586930
8,30/08/2017,32.1 (-0.31 %),853,1752430,2054,449,2324610,5177,-572180
9,29/08/2017,32.2 (0.94 %),814,2075560,2550,762,2699280,3542,-623720
10,28/08/2017,31.9 (-0.16 %),1044,2193210,2101,495,2946590,5953,-753380
11,25/08/2017,31.95 (-0.62 %),650,1062860,1635,470,2273970,4838,-1211110
12,24/08/2017,32.15 (0.16 %),629,1205130,1916,393,1401480,3566,-196350
13,23/08/2017,32.1 (0.31 %),790,1535640,1944,433,3190060,7367,-1654420
14,22/08/2017,32 (-2.44 %),1389,2911450,2096,623,3027470,4860,-116020
15,21/08/2017,32.8 (-0.61 %),682,1397500,2049,580,1541800,2658,-144300
16,18/08/2017,33 (-0.30 %),879,1911700,2175,436,1333900,3059,577800
17,17/08/2017,33.1 (-2.22 %),893,2651620,2969,1378,3498620,2539,-847000
18,16/08/2017,33.85 (2.27 %),1023,2646890,2587,1142,2585300,2264,61590
19,15/08/2017,33.1 (-0.90 %),874,1620640,1854,770,2303740,2992,-683100
20,14/08/2017,33.4 (5.36 %),1273,3275040,2573,1248,3443480,2759,-168440
1,11/08/2017,32.2 (0.00 %),644,1416700,2200,734,1858870,2533,-442170
2,10/08/2017,32.2 (0.00 %),467,858190,1838,435,1535650,3530,-677460
3,09/08/2017,32.2 (-1.23 %),704,1480310,2103,633,1870700,2955,-390390
4,08/08/2017,32.6 (1.09 %),730,1952490,2675,784,2361540,3012,-409050
5,07/08/2017,32.25 (0.16 %),950,1774030,1867,488,1860700,3813,-86670
6,04/08/2017,32.2 (-1.23 %),668,1065760,1595,544,1327760,2441,-262000
7,03/08/2017,32.6 (1.24 %),657,1465680,2231,496,1723080,3474,-257400
8,02/08/2017,32.2 (-0.31 %),727,1517390,2087,409,1534190,3751,-16800
9,01/08/2017,32.3 (-1.82 %),955,1439060,1507,496,2150540,4336,-711480
10,31/07/2017,32.9 (-1.05 %),865,2026370,2343,780,2802090,3592,-775720
11,28/07/2017,33.25 (0.15 %),526,1295790,2463,639,1643270,2572,-347480
12,27/07/2017,33.2 (0.61 %),842,2123290,2522,1006,2222720,2209,-99430
13,26/07/2017,33 (2.01 %),0,0,,0,0,,0
14,25/07/2017,32.35 (2.37 %),613,1375300,2244,564,1107310,1963,267990
15,24/07/2017,31.6 (-1.56 %),809,1451460,1794,498,1608070,3229,-156610
16,21/07/2017,32.1 (-2.13 %),604,1264550,2094,569,1373190,2413,-108640
17,20/07/2017,32.8 (1.23 %),680,1959720,2882,838,2097430,2503,-137710
18,19/07/2017,32.4 (2.86 %),949,2331250,2457,798,2326860,2916,4390
19,18/07/2017,31.5 (-3.67 %),1257,2094180,1666,776,3023160,3896,-928980
20,17/07/2017,32.7 (-3.25 %),1524,2806260,1841,685,2666360,3892,139900
1,14/07/2017,33.8 (-1.02 %),881,1766940,2006,709,2414410,3405,-647470
2,13/07/2017,34.15 (1.34 %),1027,2239900,2181,875,2841260,3247,-601360
3,12/07/2017,33.7 (0.90 %),673,1380470,2051,601,1598410,2660,-217940
4,11/07/2017,33.4 (-1.18 %),1615,2974980,1842,677,2822990,4170,151990
5,10/07/2017,33.8 (-1.74 %),1045,1922240,1839,632,2384150,3772,-461910
6,07/07/2017,34.4 (-0.86 %),1120,2085200,1862,1047,3088670,2950,-1003470
7,06/07/2017,34.7 (1.17 %),907,1957200,2158,886,2248850,2538,-291650
8,05/07/2017,34.3 (1.63 %),955,2060370,2157,664,1885200,2839,175170
9,04/07/2017,33.75 (-1.32 %),1515,3355550,2215,672,3023050,4499,332500
10,03/07/2017,34.2 (-1.01 %),996,1906390,1914,555,1665810,3001,240580
11,30/06/2017,34.55 (-1.29 %),935,2113830,2261,664,2687960,4048,-574130
12,29/06/2017,35 (1.74 %),1023,2294980,2243,707,2199390,3111,95590
